date,open,high,low,close,volume,Name
2014-07-11,78.04,78.15,77.61,77.98,208396,ARE
2014-02-07,40.39,40.69,40.2,40.66,1337256,EXPD
2014-12-15,100.07,100.68,97.33,97.77,1817933,XEC
2014-01-15,35.21,36.74,34.94,35.945,5479306,EW
2013-05-03,108.26,109.2,108.23,108.64,4447700,BRK.B
2015-06-24,31.47,31.94,31.14,31.33,2458294,GT
2016-01-14,31.33,31.86,31.14,31.735,2410502,FLIR
2013-10-22,55.56,56.725,55.37,56.22,1379892,DLR
2014-04-24,55.23,55.52,54.56,55.28,1806441,A
2017-08-25,115.19,115.41,114.48,114.8,3109531,PM
2017-02-01,96.89,97.86,95.8,96.34,607340,GPC
2017-08-22,56.72,56.91,56.25,56.54,7969503,TGT
2014-01-15,58.7,59.315,58.37,58.89,1368870,PCAR
2014-06-25,26.82,27.32,26.75,27.28,1902050,GT
2017-08-11,162.75,162.75,161.51,161.66,679989,ROK
2014-02-04,46.87,48.09,46.85,47.62,9051128,AIG
2015-03-27,85.48,85.56,84.71,84.79,746489,JBHT
2016-11-11,82.9,83.09,81.87,82.22,2186207,PSX
2014-06-25,88.49,89.58,88.49,89.28,1126194,AMT
2016-08-11,76.23,76.23,75.86,76.04,410393,CINF
2014-12-17,53.04,53.85,52.94,53.79,19782576,WFC
2017-06-26,32.34,32.77,32.23,32.67,991628,LKQ
2014-08-28,68.29,68.68,67.88,68.51,690614,PNR
2017-06-29,360.87,362.11,352.41,352.64,702753,SHW
2016-10-31,70.06,70.17,69.85,70.02,6389047,WMT
2015-09-18,43.46,43.99,42.87,43.11,4549911,KORS
2016-06-08,75.31,75.71,75.08,75.38,1210521,FIS
2014-12-17,32.81,33.46,32.68,33.26,3154296,UNM
2014-09-30,33.23,33.325,33.095,33.17,1259803,XL
2016-10-24,217.18,217.95,216.34,216.46,603096,NOC
2014-05-22,38.37,38.85,38.29,38.63,6668677,DAL
2015-04-30,25.99,26.18,25.68,26.05,2700344,CFG
2016-09-23,24.06,24.23,24.01,24.19,3008593,CNP
2015-09-18,22.99,23.49,22.85,23.29,8160255,NVDA
2015-08-28,122.04,123.51,121.4101,122.27,1323720,CMI
2017-06-27,11.55,11.62,11.315,11.35,24909384,MRO
2017-03-07,118.37,118.9,117.17,117.43,1437214,LRCX
2015-04-02,38.28,38.735,38.28,38.565,4526814,KR
2016-11-25,91.89,92.45,91.6,92.14,317563,VAR
2014-09-08,27.135,27.405,27.1325,27.2875,3209384,HBI
2014-07-03,49.74,50.75,49.72,50.53,1747993,NUE
2014-12-18,31.545,31.825,31.4,31.82,6272422,KR
2017-06-02,85.58,86.79,85.195,86.62,1319174,MSI
2013-03-11,24.64,25.26,24.64,25.22,3733452,CBG
2015-06-08,25.96,25.97,25.6,25.84,3283767,NEM
2015-09-09,68.55,68.58,66.94,67.06,835434,OMC
2016-12-05,72.62,72.85,71.59,71.61,1113887,SRCL
2013-12-04,94.3,95.06,93.75,94.59,3998498,OXY
2015-02-05,31.27,32.08,31.13,32.0,1114358,SYF
2014-03-14,29.59,29.78,29.205,29.32,9031282,NWL
2013-04-12,60.08,60.3099,59.39,59.75,2444466,STT
2014-04-10,1231.72,1234.85,1174.08,1177.3,1559097,PCLN
2015-12-23,68.16,69.29,67.45,69.25,982928,EMN
